ID,Name,Parameter,Language,Frequency,Confidence,References
7A-tru,Ejectives only,Glottalized Consonants,Trumai,,,Monod-Becquelin 1975;Guirardello 1992;Guirardello 1999b
7A-tsi,Ejectives and glottalized resonants,Glottalized Consonants,Tsimshian (Coast),,,Dunn 1995;Dunn 1970;Dunn 1979;Hoard 1978;Mulder 1988
7A-tso,Implosives only,Glottalized Consonants,Tsou,,,Wright and Ladefoged 1994;Tung 1964
7A-ttu,Ejectives only,Glottalized Consonants,Tsova-Tush,,,Desheriev 1953
7A-tug,No glottalized consonants,Glottalized Consonants,Tuareg (Ahaggar),,,Louali-Reynal et al. 1997;Prasse 1972
7A-tuk,Implosives only,Glottalized Consonants,Tukang Besi,,,Donohue 1999c;Donohue 1999a
7A-tul,No glottalized consonants,Glottalized Consonants,Tulu,,,Bhat 1967
7A-tun,No glottalized consonants,Glottalized Consonants,Tunica,,,Haas 1940
7A-tur,No glottalized consonants,Glottalized Consonants,Turkish,,,Zimmer and Orgun 1999
7A-tuv,No glottalized consonants,Glottalized Consonants,Tuvan,,,Anderson and Harrison 1999;Sat 1966;Seglenmej 1979;Song 1982
7A-tza,Ejectives only,Glottalized Consonants,Tzeltal (Aguacatenango),,,Kaufman 1971
7A-umb,No glottalized consonants,Glottalized Consonants,UMbundu,,,Schadeberg 1990;Schadeberg 1982
7A-una,No glottalized consonants,Glottalized Consonants,Una,,,Louwerse 1988
7A-ung,No glottalized consonants,Glottalized Consonants,Ungarinjin,,,Coate and Elkin 1974;Coate and Oates 1970;Rumsey 1982
7A-urk,No glottalized consonants,Glottalized Consonants,Urubú-Kaapor,,,Kakumasu 1986
7A-usa,No glottalized consonants,Glottalized Consonants,Usan,,,Reesink 1987
7A-uzn,No glottalized consonants,Glottalized Consonants,Uzbek (Northern),,,Sjoberg 1962;Sjoberg 1963
7A-vie,Implosives only,Glottalized Consonants,Vietnamese,,,Thompson 1965;Emeneau 1951;Nguyen 1974a;Nguyen 1990
7A-wah,No glottalized consonants,Glottalized Consonants,Wahgi,,,Phillips 1976;Ladefoged et al. 1977
7A-bno,No glottalized consonants,Glottalized Consonants,Waimaha,,,Stolte and Stolte 1971
7A-wam,No glottalized consonants,Glottalized Consonants,Wambaya,,,Nordlinger 1998
7A-wnt,No glottalized consonants,Glottalized Consonants,Wantoat,,,Davis 1969
7A-wao,No glottalized consonants,Glottalized Consonants,Waorani,,,Saint and Pike 1962
7A-wps,Implosives only,Glottalized Consonants,Wapishana,,,Tracy 1972
7A-wap,Ejectives and glottalized resonants,Glottalized Consonants,Wappo,,,Sawyer 1965
7A-wra,No glottalized consonants,Glottalized Consonants,Warao,,,Osborn 1966;Romero-Figueroa 1997;Vaquero 1965;de Goeje 1930
7A-wry,No glottalized consonants,Glottalized Consonants,Waray (in Australia),,,Harvey 1986
7A-wrd,No glottalized consonants,Glottalized Consonants,Wardaman,,,Merlan 1994
7A-war,Glottalized resonants only,Glottalized Consonants,Wari',,,MacEachern et al. 1997;Everett and Kern 1997
7A-wrs,No glottalized consonants,Glottalized Consonants,Waris,,,Brown 1988b
7A-wdo,No glottalized consonants,Glottalized Consonants,Western Desert (Ooldea),,,Douglas 1964;Douglas 1955
7A-wma,No glottalized consonants,Glottalized Consonants,West Makian,,,Watuseke 1976;Voorhoeve 1982
7A-wch,Ejectives and glottalized resonants,Glottalized Consonants,Wichí,,,Tovar 1981;Viñas Urquiza 1974;Hunt 1940
7A-wic,Ejectives and glottalized resonants,Glottalized Consonants,Wichita,,,Rood 1976
7A-wmu,No glottalized consonants,Glottalized Consonants,Wik Munkan,,,Sayers and Godfrey 1964;McConnel 1945
7A-win,Ejectives only,Glottalized Consonants,Wintu,,,Pitkin 1984;Schlichter 1981
7A-wiy,No glottalized consonants,Glottalized Consonants,Wiyot,,,Teeter 1964
7A-woi,No glottalized consonants,Glottalized Consonants,Woisika,,,Stokhof 1979
7A-wlf,No glottalized consonants,Glottalized Consonants,Wolof,,,Ward 1963;Ka 1994;Manessy and Sauvageot 1963;Sauvageot 1965
7A-wuc,No glottalized consonants,Glottalized Consonants,Wu,,,Chao 1970
7A-xia,No glottalized consonants,Glottalized Consonants,Xiamen,,,Hanyu 1960;Norman 1988;Ramsey 1987
7A-xoo,Ejectives and glottalized resonants,Glottalized Consonants,!Xóõ,,,Traill 1985;Traill 1994
7A-ygr,Implosives only,Glottalized Consonants,Yagaria,,,Renck 1975;Renck 1967;Haiman 1980
7A-yag,No glottalized consonants,Glottalized Consonants,Yagua,,,Payne 1985
7A-ykt,No glottalized consonants,Glottalized Consonants,Yakut,,,Bohtlingk 1964;Krueger 1962;Ubrjatova 1966
7A-yan,Ejectives only,Glottalized Consonants,Yana,,,Sapir and Swadesh 1960
7A-yny,No glottalized consonants,Glottalized Consonants,Yanyuwa,,,Kirton and Charlie 1978;Huttar and Kirton 1981;Kirton 1967
7A-yap,Ejectives and glottalized resonants,Glottalized Consonants,Yapese,,,Jensen et al. 1977;Hsu 1969
7A-yaq,No glottalized consonants,Glottalized Consonants,Yaqui,,,Dedrick and Casad 1999;Kurath and Spicer 1947
7A-yar,No glottalized consonants,Glottalized Consonants,Yareba,,,Weimer and Weimer 1972
7A-yaw,No glottalized consonants,Glottalized Consonants,Yawa,,,Jones 1986b
7A-yay,No glottalized consonants,Glottalized Consonants,Yay,,,Gedney 1965
7A-yel,No glottalized consonants,Glottalized Consonants,Yelî Dnye,,,
7A-yes,No glottalized consonants,Glottalized Consonants,Yessan-Mayo,,,Foreman and Marten 1973
7A-yey,Ejectives only,Glottalized Consonants,Yeyi,,,Gowlett 1997
7A-yid,No glottalized consonants,Glottalized Consonants,Yidiny,,,Dixon 1977a
